,cod_pessoa,cpf,genero,nome,data_nascimento,cor_da_pele,data_criacao,data_alteracao
63,1d498af8,730.798.437-66,M,Carlos Carvalho,1962-04-02,Preta,2026-07-15,2026-07-15
64,8c474c43,226.849.434-49,M,Eduardo Marcelo Henrique Reis,1991-10-15,Parda,2026-07-15,2026-07-15
65,aa2b41fc,841.616.629-52,F,Bianca Araújo,1966-01-05,Amarela,2026-07-15,2026-07-15
66,2d3f1748,260.350.722-29,M,Marcelo Rocha,1996-09-29,Preta,2026-07-15,2026-07-15
67,d3ca4559,179.639.838-79,M,Gustavo Danilo Diego Castro,1965-02-05,Amarela,2026-07-15,2026-07-15
68,edfc95c9,735.465.258-53,F,Natália Azevedo,1971-10-16,Parda,2026-07-15,2026-07-15
69,bd5892a8,807.698.375-26,F,Raquel Duarte,1990-12-06,Amarela,2026-07-15,2026-07-15
70,b7effad0,475.201.556-61,F,Daniela Jaqueline Simone Lopes,1976-12-17,Preta,2026-07-15,2026-07-15
71,da1ee912,657.165.325-17,M,Pedro Azevedo,1996-07-29,Parda,2026-07-15,2026-07-15
72,32029984,589.213.795-36,M,Rogério José Vinícius Costa,1986-12-27,Amarela,2026-07-15,2026-07-15
73,036ada7f,744.783.381-51,M,Leandro Caio Sérgio Silva,1965-05-14,Amarela,2026-07-15,2026-07-15
74,0fbb521a,344.642.705-97,M,Cláudio Marcelo Coelho,1980-07-07,Parda,2026-07-15,2026-07-15
75,434c2454,575.824.834-76,F,Daniela Beatriz Farias,1979-04-08,Branca,2026-07-15,2026-07-15
76,130d1b4b,157.580.697-56,M,Sérgio Márcio Oliveira,2001-09-12,Parda,2026-07-15,2026-07-15
77,5fa67afe,524.325.292-28,F,Sabrina Sílvia Cardoso,1996-02-04,Parda,2026-07-15,2026-07-15
78,878ac43c,691.884.117-99,U,Nani Fran Sales,1967-03-12,Parda,2026-07-15,2026-07-15
79,d8a2bbd7,445.842.217-93,F,Nayara Sabrina Simone Campos,1993-06-18,Amarela,2026-07-15,2026-07-15
80,8a62b3ac,574.791.645-79,F,Patrícia Machado,1983-09-21,Amarela,2026-07-15,2026-07-15
81,aaa7dca8,422.675.186-24,F,Patrícia Correia,1982-01-30,Branca,2026-07-15,2026-07-15
82,2d920761,600.188.418-86,U,Kai Sacha Teixeira,1969-02-04,Parda,2026-07-15,2026-07-15
83,95b51c57,340.483.799-37,M,Otávio Nascimento,1997-01-25,Branca,2026-07-15,2026-07-15
84,51825d53,842.894.754-57,U,Alex Eden Oliveira,1993-07-26,Preta,2026-07-15,2026-07-15
85,4aeffd09,540.597.538-29,F,Tainá Juliana Flávia Ramos,1967-09-16,Amarela,2026-07-15,2026-07-15
86,91703de8,400.726.132-98,U,Biel Sol Moreira,1960-01-18,Branca,2026-07-15,2026-07-15
87,a69c9a14,784.243.149-88,F,Jéssica Carvalho,1979-05-23,Preta,2026-07-15,2026-07-15
88,beb07275,433.230.566-44,U,Mari Vieira,2001-04-06,Branca,2026-07-15,2026-07-15
89,1f937553,744.375.537-90,M,Renato Marcos Lima,1997-09-21,Branca,2026-07-15,2026-07-15
90,fdb588e8,416.227.816-50,U,Ari Tay Nani Carvalho,2001-11-04,Branca,2026-07-15,2026-07-15
91,b3125078,597.488.768-76,M,Samuel Mário Souza,1961-09-21,Branca,2026-07-15,2026-07-15
92,2ca25cdb,133.885.448-48,U,Duda Sales,1971-06-06,Preta,2026-07-15,2026-07-15
93,d14e52b1,564.791.523-97,M,Rodrigo Eduardo Sales,1988-07-06,Parda,2026-07-15,2026-07-15
94,03fab08d,760.423.812-18,F,Bruna Ana Maria Freire,1999-12-13,Branca,2026-07-15,2026-07-15
95,97682d83,292.316.888-65,U,Yves Santos,1984-01-07,Parda,2026-07-15,2026-07-15
96,78021906,441.480.779-31,M,Mário Gustavo Carvalho,1974-08-15,Parda,2026-07-15,2026-07-15
97,febfde98,843.501.814-51,M,Fernando Ramos,1960-02-10,Amarela,2026-07-15,2026-07-15
98,8e0d1d27,202.411.554-89,M,Fernando Felipe Adriano Campos,1979-01-16,Branca,2026-07-15,2026-07-15
99,b716556b,891.201.287-55,M,Rafael Ramos,1972-05-09,Branca,2026-07-15,2026-07-15
100,41bd073b,539.339.891-21,F,Cristiane Simone Dias,1987-06-17,Amarela,2026-07-15,2026-07-15
101,56205f69,494.735.228-14,M,Diego Rodrigo Caio Campos,1996-01-22,Branca,2026-07-15,2026-07-15
102,83a85055,668.692.114-95,U,Eli Nani Rene Teixeira,1962-11-23,Preta,2026-07-15,2026-07-15
103,2a848fbd,249.832.448-44,F,Amanda Bianca Batista,1973-03-20,Branca,2026-07-15,2026-07-15
104,a9b8d678,389.873.800-39,U,Tay Gael Martins,2000-03-18,Preta,2026-07-15,2026-07-15
105,369a8438,542.468.835-96,F,Sílvia Bianca Bianca Batista,1986-04-02,Preta,2026-07-15,2026-07-15
106,1e4cea7e,749.396.278-34,F,Beatriz Coelho,1998-04-09,Parda,2026-07-15,2026-07-15
107,ae0aa89b,824.311.307-26,M,Pedro Roberto Rodrigues,1988-04-27,Parda,2026-07-15,2026-07-15
108,b4065ef4,864.627.567-36,U,Lori Souza,1996-12-19,Branca,2026-07-15,2026-07-15
109,533791e4,829.180.623-65,F,Olívia Helena Elaine Monteiro,1962-09-09,Preta,2026-07-15,2026-07-15
110,a1ba575a,385.129.228-39,U,Cris Moura,1987-12-21,Branca,2026-07-15,2026-07-15
111,f033669c,438.534.796-14,U,Mari Acyr Oliveira,1998-01-15,Preta,2026-07-15,2026-07-15
112,0d3f9788,783.275.388-45,M,Marcelo Ramos,1968-12-27,Parda,2026-07-15,2026-07-15
113,b28fc5c5,589.377.526-31,M,Vitor Otávio Sales,1985-01-20,Amarela,2026-07-15,2026-07-15
114,694c9343,339.596.657-53,M,Igor Rocha,1998-02-26,Branca,2026-07-15,2026-07-15
115,d7eeca4b,468.283.531-36,F,Luciana Sílvia Larissa Monteiro,1996-08-08,Amarela,2026-07-15,2026-07-15
116,24aa3e51,811.169.517-87,F,Fabiana Olívia Campos,1964-03-11,Branca,2026-07-15,2026-07-15
117,dbbdc07d,292.482.808-22,F,Ingrid Araújo,1994-02-24,Amarela,2026-07-15,2026-07-15
118,117f1ca5,444.283.651-79,F,Eduarda Maria Elaine Oliveira,1991-01-26,Branca,2026-07-15,2026-07-15
119,1c803ef6,346.722.549-27,F,Jéssica Cristiane Karen Nogueira,1967-10-30,Amarela,2026-07-15,2026-07-15
120,77c6d634,214.603.471-72,U,Rene Nascimento,1989-06-14,Branca,2026-07-15,2026-07-15
121,35f98e98,768.140.763-14,F,Letícia Evelyn Mendes,1979-07-23,Parda,2026-07-15,2026-07-15
122,467e0429,710.454.137-79,F,Helena Nogueira,1978-12-19,Preta,2026-07-15,2026-07-15
123,87a9d3c3,527.649.756-27,U,Gael Gabi Soares,1960-03-02,Preta,2026-07-15,2026-07-15
124,d57be0f9,175.317.843-23,U,Zion Campos,1994-07-19,Amarela,2026-07-15,2026-07-15
125,ae18638f,673.106.874-88,M,Gustavo Márcio Araújo,1964-01-26,Parda,2026-07-15,2026-07-15
126,862b8458,114.705.333-16,M,César Mário Moreira,1978-07-13,Amarela,2026-07-15,2026-07-15
127,3fc80484,540.619.484-75,M,Carlos Daniel Freire,2002-06-30,Preta,2026-07-15,2026-07-15
128,15a65ae5,888.889.128-46,U,Cadu Isa Duda Reis,1987-05-27,Branca,2026-07-15,2026-07-15
129,43b89e78,764.288.146-23,U,Rael Val Yuri Azevedo,1969-07-30,Amarela,2026-07-15,2026-07-15
130,bf173c73,179.373.166-50,M,Igor Reis,1998-08-20,Amarela,2026-07-15,2026-07-15
131,ec06ef75,118.385.249-31,U,Kim Cavalcanti,1968-03-29,Parda,2026-07-15,2026-07-15
132,c53ba1f0,707.314.439-61,F,Geovana Larissa Amanda Freire,1991-03-26,Branca,2026-07-15,2026-07-15
133,80dd5df6,890.254.202-38,U,Cris Carvalho,1971-12-22,Parda,2026-07-15,2026-07-15
134,8b414a94,643.285.250-69,M,Rogério Matheus Gustavo Batista,1997-11-10,Preta,2026-07-15,2026-07-15
135,8286fd53,299.618.586-45,U,Gael Cavalcanti,1963-07-13,Amarela,2026-07-15,2026-07-15
136,b427b66b,404.192.203-61,F,Helena Beatriz Geovana Soares,1975-12-30,Parda,2026-07-15,2026-07-15
137,e47eaed4,891.851.651-77,U,Noel Tony Tay Rodrigues,1975-06-22,Branca,2026-07-15,2026-07-15
138,9ada5a7c,176.273.269-50,F,Jéssica Luciana Almeida,1972-01-29,Preta,2026-07-15,2026-07-15
139,8a6bad04,120.557.886-65,U,Zion Lee Gomes,1974-06-26,Amarela,2026-07-15,2026-07-15
140,50641c23,441.647.348-79,M,Marcos Soares,1978-08-19,Amarela,2026-07-15,2026-07-15
141,1cc015d8,206.286.845-85,U,Yves Jan Sales,1973-11-24,Amarela,2026-07-15,2026-07-15
142,c2e395dd,758.605.573-32,F,Jéssica Soares,1993-09-02,Parda,2026-07-15,2026-07-15
143,dd410d5f,634.244.774-22,F,Michele Helena Jaqueline Coelho,1968-02-11,Branca,2026-07-15,2026-07-15
144,ec5b641f,312.569.574-60,M,Pedro Jorge Sales,1963-01-13,Amarela,2026-07-15,2026-07-15
145,e4debd30,323.477.721-45,U,Mari Ferreira,1986-04-15,Branca,2026-07-15,2026-07-15
146,2dcdeda3,630.302.493-34,F,Geovana Teixeira,1965-09-15,Preta,2026-07-15,2026-07-15
147,0b6ae467,443.212.880-18,M,César Diego Almeida,1974-06-16,Amarela,2026-07-15,2026-07-15
148,96466724,693.853.817-62,M,Pedro Cláudio Cardoso,1973-11-09,Preta,2026-07-15,2026-07-15
149,647df2a3,754.666.114-14,U,Yuri Eden Coelho,1992-07-04,Amarela,2026-07-15,2026-07-15
150,5a53b8e9,733.776.459-10,U,Ayo Freitas,1989-12-20,Parda,2026-07-15,2026-07-15
151,1e59121b,820.324.466-35,F,Geovana Freire,1967-07-22,Preta,2026-07-15,2026-07-15
152,07c5efaa,697.228.821-37,M,Cláudio Cristiano Sérgio Martins,1999-02-04,Amarela,2026-07-15,2026-07-15
153,92f2fd13,239.804.500-61,F,Natália Sílvia Lima,1963-01-03,Parda,2026-07-15,2026-07-15
154,41c72cdb,786.629.502-57,F,Cláudia Nayara Correia,1972-01-05,Preta,2026-07-15,2026-07-15
155,4096ce33,702.663.695-68,F,Olívia Letícia Olívia Souza,1960-12-17,Parda,2026-07-15,2026-07-15
156,d88f6a7f,443.582.818-56,U,Ayo Gomes,1993-12-04,Amarela,2026-07-15,2026-07-15
157,afffa2fe,336.516.575-14,M,Leonardo Marcelo Carvalho,1960-02-14,Branca,2026-07-15,2026-07-15
158,72fb51ab,313.676.866-45,F,Sílvia Tainá Correia,1999-06-27,Parda,2026-07-15,2026-07-15
159,bbb73d9c,704.864.542-64,F,Bruna Barbosa,1961-08-04,Parda,2026-07-15,2026-07-15
160,878999ea,344.790.462-86,M,Leandro Borges,1985-08-03,Preta,2026-07-15,2026-07-15
161,6bd01ab1,235.587.863-40,F,Tainá Duarte,1986-06-01,Branca,2026-07-15,2026-07-15
162,e6d45de3,452.357.424-54,M,Pedro Vieira,1993-06-14,Parda,2026-07-15,2026-07-15
163,15c41c28,252.298.384-27,M,Paulo Thiago Pedro Ramos,1995-12-24,Amarela,2026-07-15,2026-07-15
164,205742d2,877.486.167-74,M,Marcelo Sérgio Farias,1982-01-27,Branca,2026-07-15,2026-07-15
165,860df6aa,567.279.136-54,U,Jaci Ciel Jade Duarte,1971-09-28,Parda,2026-07-15,2026-07-15
166,fa578b09,611.427.494-93,M,Fábio Cláudio Marcos Ferreira,1996-05-13,Preta,2026-07-15,2026-07-15
167,040a6b6a,818.217.406-99,F,Fernanda Mariana Débora Moura,2002-01-11,Amarela,2026-07-15,2026-07-15
168,a4e3426c,731.383.648-74,M,Samuel Felipe Pedro Gomes,1983-01-05,Parda,2026-07-15,2026-07-15
169,2e7a6d03,519.831.274-69,U,Ciel Lima,1968-08-11,Branca,2026-07-15,2026-07-15
170,8125c6f0,566.583.381-14,U,Biel Nogueira,1994-02-19,Branca,2026-07-15,2026-07-15
171,c208441a,148.164.897-90,M,Igor Sérgio Marcos Machado,1971-07-27,Branca,2026-07-15,2026-07-15
172,c35b77c9,641.241.475-80,U,Noa Joade Lopes,1991-09-29,Preta,2026-07-15,2026-07-15
173,aece207c,806.739.100-87,F,Sabrina Geovana Pereira,1971-03-22,Amarela,2026-07-15,2026-07-15
174,58bff7d8,434.884.621-35,U,Ayo Duda Eden Sales,1974-10-09,Preta,2026-07-15,2026-07-15
175,7fddfb89,803.394.293-67,F,Tatiane Mariana Freitas,1972-05-28,Amarela,2026-07-15,2026-07-15
176,d0a64552,380.745.314-53,M,Paulo Igor Silva,1996-03-04,Parda,2026-07-15,2026-07-15
177,15465dcb,276.273.824-80,F,Paula Bruna Campos,1974-03-22,Preta,2026-07-15,2026-07-15
178,c586920c,538.252.746-74,F,Jaqueline Lorena Priscila Fernandes,1996-05-25,Parda,2026-07-15,2026-07-15
179,943eab83,344.706.681-95,M,Rogério Moura,1969-12-28,Amarela,2026-07-15,2026-07-15
180,4bdce932,663.460.756-43,U,Tay Nascimento,1987-10-04,Amarela,2026-07-15,2026-07-15
181,1df1fe50,377.614.163-38,U,Acyr Dani Lee Freitas,1990-05-22,Preta,2026-07-15,2026-07-15
182,bde42cc1,219.657.308-25,M,Paulo Rafael Fernandes,1969-11-15,Branca,2026-07-15,2026-07-15
183,cedf6f69,427.883.190-13,U,Cris Cadu Moreira,1991-08-11,Branca,2026-07-15,2026-07-15
184,eb3c1fb7,850.658.528-74,F,Paula Aline Duarte,1991-09-04,Parda,2026-07-15,2026-07-15
185,4e5a2f15,419.302.755-70,U,Gabi Sales,1960-04-22,Branca,2026-07-15,2026-07-15
186,a008a294,424.360.171-47,M,Vinícius Pereira,1988-02-14,Parda,2026-07-15,2026-07-15
187,6bd6b03d,813.281.473-13,U,Lori Duda Gabi Alves,2002-11-10,Parda,2026-07-15,2026-07-15
188,924ce702,786.834.205-94,U,Zion Lua Cavalcanti,1976-12-29,Preta,2026-07-15,2026-07-15
189,3a1756fa,533.486.753-28,M,Daniel Campos,1994-10-22,Branca,2026-07-15,2026-07-15
190,507b6871,825.818.580-86,U,Duda Fernandes,1998-04-21,Amarela,2026-07-15,2026-07-15
191,827ac471,402.264.852-85,M,Vinícius Elias Coelho,1987-02-08,Amarela,2026-07-15,2026-07-15
192,e942aab7,864.462.707-59,F,Débora Evelyn Carla Leite,1995-04-12,Preta,2026-07-15,2026-07-15
193,77449c06,372.212.278-31,M,Carlos Vitor Vinícius Nogueira,2000-08-13,Branca,2026-07-15,2026-07-15
194,426b4cc0,386.443.892-74,U,Lua Ariel Mika Batista,1982-01-26,Amarela,2026-07-15,2026-07-15
195,f84c5050,512.176.154-95,M,Rafael Matheus Leandro Batista,1972-02-15,Preta,2026-07-15,2026-07-15
196,3dd2333e,882.623.665-65,U,Sacha Castro,1977-12-10,Branca,2026-07-15,2026-07-15
197,daf3e825,400.154.899-66,F,Tainá Barbosa,1963-08-19,Preta,2026-07-15,2026-07-15
198,ef5f41ce,127.350.105-44,M,Renato Márcio Campos,1965-01-22,Branca,2026-07-15,2026-07-15
199,148dadf2,784.108.477-53,F,Renata Elaine Ribeiro,1996-10-25,Parda,2026-07-15,2026-07-15
200,5270265d,698.491.763-62,F,Cristiane Gomes,1971-11-20,Preta,2026-07-15,2026-07-15
201,5a9a4ebb,802.741.383-56,M,Lucas Lucas Mário Rodrigues,1962-09-02,Parda,2026-07-15,2026-07-15
202,b03540b1,453.177.508-16,M,Márcio Ricardo Adriano Pinto,1987-07-07,Parda,2026-07-15,2026-07-15
203,62baf108,826.752.742-62,F,Ingrid Lima,1972-12-11,Branca,2026-07-15,2026-07-15
204,3b48a8e3,324.331.699-47,U,Noel Biel Gabi Pinto,2000-02-11,Amarela,2026-07-15,2026-07-15
205,63369e6c,617.718.283-11,U,Sol Nani Martins,1992-03-28,Preta,2026-07-15,2026-07-15
206,0d484e5f,663.601.259-65,F,Michele Souza,1965-03-26,Parda,2026-07-15,2026-07-15
207,11f3df17,811.352.657-85,F,Maria Lima,1962-06-22,Parda,2026-07-15,2026-07-15
208,e89b35ce,680.455.618-52,M,Cláudio Lima,1975-03-24,Preta,2026-07-15,2026-07-15
209,7788f28a,884.481.866-86,U,Kim Farias,1993-11-10,Branca,2026-07-15,2026-07-15
210,79817db7,605.879.370-18,U,Cris Souza,1989-05-13,Amarela,2026-07-15,2026-07-15
211,fb84877a,196.756.245-48,M,Vitor Danilo Moura,1960-04-07,Branca,2026-07-15,2026-07-15
212,fb87e33d,276.459.753-59,M,Henrique Bruno Pereira,1968-03-11,Branca,2026-07-15,2026-07-15
213,1139e59a,564.892.313-86,U,Kai Andy Rodrigues,1960-07-14,Parda,2026-07-15,2026-07-15
214,df92d410,495.428.638-31,F,Elaine Vanessa Santos,1989-12-24,Amarela,2026-07-15,2026-07-15
215,3d6a9dc8,108.156.408-63,F,Nayara Raquel Daniela Campos,1983-02-05,Amarela,2026-07-15,2026-07-15
216,0fecacbf,537.759.848-74,M,André Eduardo Marcos Freire,1989-06-11,Branca,2026-07-15,2026-07-15
217,98313937,792.356.188-51,M,Rodrigo Mendes,1967-07-02,Parda,2026-07-15,2026-07-15
218,2d45f6bd,490.688.353-65,U,Dani Nogueira,1987-10-06,Parda,2026-07-15,2026-07-15
219,fc9cf0b8,161.234.346-40,U,Ryan Yuri Duda Reis,1966-04-13,Amarela,2026-07-15,2026-07-15
220,8b319808,246.898.480-24,F,Letícia Larissa Cardoso,1989-09-04,Parda,2026-07-15,2026-07-15
221,4392286c,728.313.173-26,U,Dani Jo Dani Araújo,1977-10-21,Parda,2026-07-15,2026-07-15
222,a8539542,273.629.246-32,U,Beni Lopes,1966-03-21,Parda,2026-07-15,2026-07-15
223,c712e644,849.577.258-42,M,Felipe Ramos,1977-11-11,Preta,2026-07-15,2026-07-15
224,53c7fa69,730.257.441-70,U,Sol Fran Alex Dias,1993-07-01,Branca,2026-07-15,2026-07-15
225,a71b0343,216.593.213-68,F,Mariana Beatriz Ribeiro,1998-08-05,Amarela,2026-07-15,2026-07-15
226,e6972323,793.411.850-71,F,Fabiana Machado,1987-11-14,Branca,2026-07-15,2026-07-15
227,13be7576,430.743.450-72,M,César Carlos Leandro Leite,1968-11-11,Parda,2026-07-15,2026-07-15
228,a5ae52f4,429.267.460-65,M,Pedro Barbosa,1987-05-13,Amarela,2026-07-15,2026-07-15
229,41b74d8d,754.509.126-61,F,Olívia Gomes,1996-05-30,Parda,2026-07-15,2026-07-15
230,c349e5a3,216.454.141-73,F,Letícia Cristiane Lima,1990-01-01,Branca,2026-07-15,2026-07-15
231,6e448a77,688.663.333-76,M,Mário Adriano Pedro Azevedo,1969-12-26,Parda,2026-07-15,2026-07-15
232,60110433,871.326.532-87,F,Sabrina Sílvia Borges,1973-01-16,Preta,2026-07-15,2026-07-15
233,ccde9baa,742.627.393-76,U,Jaci Coelho,1969-05-21,Branca,2026-07-15,2026-07-15
234,3929633d,899.380.217-52,F,Juliana Evelyn Pinto,1988-01-04,Amarela,2026-07-15,2026-07-15
235,dd3198d1,117.587.119-34,U,Yves Tony Gael Ribeiro,1977-04-15,Branca,2026-07-15,2026-07-15
236,15a70db6,835.207.757-44,F,Bruna Carla Maria Duarte,1991-05-22,Amarela,2026-07-15,2026-07-15
237,e666d1de,521.454.512-85,M,Marcos Leandro Samuel Correia,1994-01-28,Parda,2026-07-15,2026-07-15
238,fb638059,625.658.434-59,M,Renato Martins,1974-04-01,Amarela,2026-07-15,2026-07-15
239,6217138b,741.451.666-10,F,Amanda Lima,1981-12-23,Amarela,2026-07-15,2026-07-15
240,89eec31c,346.105.473-66,M,Gilberto Adriano Danilo Lima,2002-12-20,Preta,2026-07-15,2026-07-15
241,f27a730c,383.187.101-26,M,Eduardo Jorge Ramos,1967-11-03,Branca,2026-07-15,2026-07-15
242,36e63beb,437.742.758-33,F,Paula Leite,1966-07-12,Parda,2026-07-15,2026-07-15
243,0fcaa55a,200.581.165-28,M,Jorge Fábio Mário Cavalcanti,1968-09-11,Preta,2026-07-15,2026-07-15
244,79a8f11f,485.528.218-92,F,Simone Helena Ribeiro,1990-01-02,Parda,2026-07-15,2026-07-15
245,8f52cc69,289.522.322-21,U,Duda Kai Cris Gomes,1990-06-14,Preta,2026-07-15,2026-07-15
246,abe55d2b,668.683.663-65,U,Zion Machado,1978-06-29,Amarela,2026-07-15,2026-07-15
